Nr.;Time;Photo;Distance [m];Area [m²];Volume [m³];Inclination [°];V [°];Hz [°];X [m];Y [m];Z [m];Accuracy [mm]
426;10:49:55;0;6,2241;;;;86,336;264,124;-4,7065;-8,9125;0,0737;5,7
427;10:49:59;0;6,2241;;;;86,336;264,124;-4,7065;-8,9125;0,0737;5,7
428;10:57:09;0;4,0544;;;;76,045;226,155;-10,4936;-0,001;0,6396;3,8
429;10:57:19;0;3,6474;;;;69,501;233,42;-9,8605;-0,291;0,9389;3,5
430;10:57:28;0;3,5765;;;;68,922;234,929;-9,7506;-0,3369;0,9478;3,4
431;10:57:37;0;3,1189;;;;65,927;246,545;-9,0346;-0,6776;0,9337;3
432;10:57:43;0;3,0404;;;;65,27;249,486;-8,8836;-0,7503;0,9334;3
433;10:57:49;0;3,0087;;;;71,07;246,291;-9,047;-0,6802;0,6377;2,9
434;10:57:55;0;2,784;;;;62,8;265,671;-8,1706;-1,0882;0,9339;2,7
435;10:58:00;0;2,7346;;;;62,623;269,669;-8,0171;-1,1772;0,9188;2,7
436;10:58:07;0;2,6284;;;;68,308;267,721;-8,0929;-1,1411;0,633;2,6
437;10:58:14;0;2,7834;;;;69,44;303,332;-6,7058;-1,8335;0,6391;2,7
438;10:58:20;0;2,842;;;;70,042;305,636;-6,5886;-1,8754;0,6317;2,8
439;10:58:27;0;2,7858;;;;73,37;305,876;-6,5832;-1,8853;0,459;2,7
440;10:58:35;0;2,7224;;;;78,937;305,233;-6,599;-1,8597;0,1842;2,7
441;10:58:48;0;2,6895;;;;68,849;297,007;-6,9697;-1,6942;0,632;2,7
442;10:58:56;0;2,8206;;;;76,667;308,479;-6,4497;-1,9401;0,3123;2,8
443;10:59:03;0;3,016;;;;71,247;311,896;-6,2659;-2,0197;0,6313;2,9
444;10:59:12;0;3,0432;;;;72,147;308,424;-6,3267;-1,8515;0,5947;3
445;10:59:20;0;3,0256;;;;71,094;309,13;-6,335;-1,9002;0,642;2,9
446;10:59:26;0;3,0088;;;;65,204;305,089;-6,5573;-1,8184;0,9233;2,9
447;10:59:33;0;3,1065;;;;66,08;307,446;-6,4019;-1,8448;0,921;3
448;10:59:39;0;2,7266;;;;78,846;301,475;-6,7088;-1,7231;0,1893;2,7
449;10:59:49;0;2,8698;;;;79,686;299,882;-6,6512;-1,5664;0,1757;2,8
450;10:59:56;0;2,9715;;;;109,568;299,446;-6,6807;-1,565;-1,3336;2,9
451;11:00:22;0;2,9846;;;;109,225;306,872;-6,4325;-1,8319;-1,3211;2,9
452;11:00:31;0;2,8364;;;;86,959;307,625;-6,401;-1,855;-0,1875;2,8
453;11:00:38;0;2,7655;;;;86,703;305,41;-6,5229;-1,8111;-0,179;2,7
454;11:00:49;0;2,607;;;;61,392;313,123;-6,7262;-2,3571;0,9095;2,6
455;11:00:51;0;2,607;;;;61,392;313,123;-6,7262;-2,3571;0,9095;2,6
456;11:00:58;0;2,457;;;;58,981;317,233;-6,8139;-2,5821;0,9273;2,5
457;11:01:05;0;2,4987;;;;59,249;319,25;-6,7445;-2,6323;0,9387;2,5
458;11:01:16;0;2,5491;;;;60,011;319,183;-6,6902;-2,6053;0,9353;2,6
459;11:01:24;0;2,9235;;;;58,931;306,901;-6,6888;-2,0221;1,1699;2,9
460;11:01:24;0;2,9235;;;;58,931;306,901;-6,6888;-2,0221;1,1699;2,9
461;11:01:30;0;2,7772;;;;56,843;285,767;-7,4548;-1,5463;1,1799;2,7
462;11:01:36;0;2,8021;;;;57,129;264,831;-8,2309;-1,2013;1,1819;2,8
463;11:01:42;0;3,1393;;;;61,078;244,789;-9,1064;-0,7883;1,1794;3
464;11:01:53;0;4,2039;;;;69,054;220,366;-10,8326;-0,2072;1,1645;3,9
465;11:02:00;0;3,3286;;;;67,381;145,192;-11,6234;-4,4537;0,9417;3,2
466;11:02:11;0;6,5396;;;;84,189;341,671;-2,2008;-3,3274;0,324;5,9
467;11:02:17;0;6,5976;;;;84,44;340,293;-2,1464;-3,168;0,3012;6
468;11:02:25;0;6,612;;;;84,501;339,996;-2,1333;-3,1332;0,2956;6
469;11:02:31;0;6,7082;;;;88,723;342,194;-1,9985;-3,3832;-0,1885;6,1
470;11:02:41;0;6,493;;;;88,864;341,511;-2,2151;-3,3097;-0,2093;5,9
471;11:02:51;0;6,6129;;;;84,314;339,999;-2,1345;-3,1336;0,3172;6
472;11:03:02;0;7,061;;;;82,121;336,904;-1,7528;-2,7339;0,6299;6,4
473;11:03:10;0;7,0642;;;;83,564;336,027;-1,7401;-2,6244;0,4538;6,4
474;11:03:16;0;6,7694;;;;85,71;342,415;-1,9545;-3,4085;0,1683;6,1
475;11:03:23;0;6,7453;;;;88,843;342,383;-1,9608;-3,4048;-0,2018;6,1
476;11:03:29;0;6,6716;;;;91,827;342,239;-2,0364;-3,3891;-0,5507;6,1
477;11:03:37;0;5,3807;;;;100,857;6,264;-3,84;-5,5723;-1,3517;4,9
478;11:03:51;0;5,878;;;;77,655;339,04;-2,9783;-3,0849;0,9185;5,4
479;11:03:53;0;5,878;;;;77,655;339,04;-2,9783;-3,0849;0,9185;5,4
480;11:04:00;0;5,8244;;;;77,539;342,499;-3,0184;-3,4318;0,9186;5,3
481;11:04:07;0;5,4568;;;;98,895;5,615;-3,7184;-5,5577;-1,1819;5
482;11:04:08;0;5,4568;;;;98,895;5,615;-3,7184;-5,5577;-1,1819;5
483;11:04:37;0;6,5066;;;;97,962;346,636;-2,2706;-3,8873;-1,2394;5,9
484;11:04:50;0;6,4477;;;;98,017;349,074;-2,3516;-4,1546;-1,2373;5,9
